bus_id,geo_x,geo_y,vn_kv,max_vm_pu,min_vm_pu
1,700,1500,4.16,1.05,0.95
2,700,1700,4.16,1.05,0.95
3,700,1250,4.16,1.05,0.95
4,700,1050,4.16,1.05,0.95
5,1025,1250,4.16,1.05,0.95
6,1025,1050,4.16,1.05,0.95
7,1000,1500,4.16,1.05,0.95
8,1200,1500,4.16,1.05,0.95
9,1200,1725,4.16,1.05,0.95
10,1400,2000,4.16,1.05,0.95
11,950,2000,4.16,1.05,0.95
12,1200,1275,4.16,1.05,0.95
13,1500,1500,4.16,1.05,0.95
14,1200,2000,4.16,1.05,0.95
15,1500,875,4.16,1.05,0.95
16,1500,500,4.16,1.05,0.95
17,1850,875,4.16,1.05,0.95
18,1500,2325,4.16,1.05,0.95
19,1250,2325,4.16,1.05,0.95
20,925,2325,4.16,1.05,0.95
21,1500,2625,4.16,1.05,0.95
22,975,2625,4.16,1.05,0.95
23,1500,2875,4.16,1.05,0.95
24,950,2875,4.16,1.05,0.95
25,1500,3150,4.16,1.05,0.95
26,1150,3150,4.16,1.05,0.95
27,875,3150,4.16,1.05,0.95
28,1500,3350,4.16,1.05,0.95
29,1500,3650,4.16,1.05,0.95
30,1850,3650,4.16,1.05,0.95
31,1150,3375,4.16,1.05,0.95
32,1150,3675,4.16,1.05,0.95
33,875,3650,4.16,1.05,0.95
34,1500,1125,4.16,1.05,0.95
35,1975,2325,4.16,1.05,0.95
36,1975,2100,4.16,1.05,0.95
37,1775,2100,4.16,1.05,0.95
38,2325,2100,4.16,1.05,0.95
39,2650,2100,4.16,1.05,0.95
40,1975,2575,4.16,1.05,0.95
41,2300,2575,4.16,1.05,0.95
42,1975,2825,4.16,1.05,0.95
43,2475,2825,4.16,1.05,0.95
44,1975,3025,4.16,1.05,0.95
45,2175,3025,4.16,1.05,0.95
46,2475,3025,4.16,1.05,0.95
47,1975,3275,4.16,1.05,0.95
48,1825,3275,4.16,1.05,0.95
49,2225,3275,4.16,1.05,0.95
50,2475,3275,4.16,1.05,0.95
51,2725,3275,4.16,1.05,0.95
52,2000,1500,4.16,1.05,0.95
53,2200,1500,4.16,1.05,0.95
54,2325,1500,4.16,1.05,0.95
55,2600,1500,4.16,1.05,0.95
56,2875,1500,4.16,1.05,0.95
57,2325,1850,4.16,1.05,0.95
58,2075,1850,4.16,1.05,0.95
59,1825,1850,4.16,1.05,0.95
60,3075,1850,4.16,1.05,0.95
61,3075,1500,4.16,1.05,0.95
62,3075,2100,4.16,1.05,0.95
63,3075,2275,4.16,1.05,0.95
64,3075,2575,4.16,1.05,0.95
65,3075,2825,4.16,1.05,0.95
66,2650,2825,4.16,1.05,0.95
67,3525,1850,4.16,1.05,0.95
68,3725,1850,4.16,1.05,0.95
69,3925,1850,4.16,1.05,0.95
70,4125,1850,4.16,1.05,0.95
71,4325,1850,4.16,1.05,0.95
72,3525,1500,4.16,1.05,0.95
73,3725,1500,4.16,1.05,0.95
74,3975,1500,4.16,1.05,0.95
75,4175,1500,4.16,1.05,0.95
76,3525,1125,4.16,1.05,0.95
77,3725,1125,4.16,1.05,0.95
78,3925,1125,4.16,1.05,0.95
79,4125,1125,4.16,1.05,0.95
80,3925,725,4.16,1.05,0.95
81,4325,725,4.16,1.05,0.95
82,4525,725,4.16,1.05,0.95
83,4525,1125,4.16,1.05,0.95
84,4325,500,4.16,1.05,0.95
85,4525,500,4.16,1.05,0.95
86,3525,850,4.16,1.05,0.95
87,3255,850,4.16,1.05,0.95
88,3255,1125,4.16,1.05,0.95
89,2775,850,4.16,1.05,0.95
90,2775,1125,4.16,1.05,0.95
91,2550,850,4.16,1.05,0.95
92,2550,1125,4.16,1.05,0.95
93,2325,850,4.16,1.05,0.95
94,2325,1125,4.16,1.05,0.95
95,2025,850,4.16,1.05,0.95
96,2025,1125,4.16,1.05,0.95
97,3525,2325,4.16,1.05,0.95
98,3800,2325,4.16,1.05,0.95
99,4000,2325,4.16,1.05,0.95
100,4300,2325,4.16,1.05,0.95
101,3525,2750,4.16,1.05,0.95
102,3725,2750,4.16,1.05,0.95
103,3925,2750,4.16,1.05,0.95
104,4125,2750,4.16,1.05,0.95
105,3525,3000,4.16,1.05,0.95
106,3800,3000,4.16,1.05,0.95
107,4000,3000,4.16,1.05,0.95
108,3525,3250,4.16,1.05,0.95
109,3525,3500,4.16,1.05,0.95
110,3975,3500,4.16,1.05,0.95
111,3975,4000,4.16,1.05,0.95
112,4275,3500,4.16,1.05,0.95
113,4600,3500,4.16,1.05,0.95
114,4900,3500,4.16,1.05,0.95
115,1700,2325,4.16,1.05,0.95
116,450,1500,4.16,1.05,0.95
117,2925,3275,4.16,1.05,0.95
118,1750,1500,4.16,1.05,0.95
119,3255,1850,4.16,1.05,0.95
120,3525,2500,4.16,1.05,0.95
121,1850,4000,4.16,1.05,0.95
122,4000,3250,4.16,1.05,0.95
123,4500,2325,4.16,1.05,0.95
