element_id,bus_id,geo_x,geo_y,max_p_kw,alpha,beta,min_load_pct,agent_id,ip,type,profile,priority,loss_factor,zone
1,1,700,1500,120,5,15,0,50,192.168.0.120,LOAD,d_profile_01,1,0.04,zone_a
2,2,700,1700,60,5,15,0,51,192.168.0.121,LOAD,d_profile_01,1,0.03,zone_a
3,4,700,1050,120,5,15,0,52,192.168.0.122,LOAD,d_profile_01,1,0.04,zone_a
4,5,1025,1250,60,5,15,0,53,192.168.0.123,LOAD,d_profile_01,1,0.05,zone_a
5,6,1025,1050,120,5,15,0,54,192.168.0.124,LOAD,d_profile_01,1,0.035,zone_a
6,7,1000,1500,60,5,15,0,55,192.168.0.125,LOAD,d_profile_01,1,0.04,zone_a
7,9,1200,1725,120,5,15,0,56,192.168.0.126,LOAD,d_profile_01,1,0.03,zone_a
8,10,1400,2000,60,5,15,0,57,192.168.0.127,LOAD,d_profile_01,1,0.04,zone_a
9,11,950,2000,120,5,15,0,58,192.168.0.128,LOAD,d_profile_02,1,0.05,zone_a
10,12,1200,1275,60,5,15,0,59,192.168.0.129,LOAD,d_profile_02,1,0.035,zone_a
11,16,1500,500,120,5,15,0,60,192.168.0.130,LOAD,d_profile_02,1,0.04,zone_a
12,17,1850,875,60,5,15,0,61,192.168.0.131,LOAD,d_profile_02,1,0.03,zone_a
13,19,1250,2325,120,5,15,0,62,192.168.0.132,LOAD,d_profile_02,1,0.04,zone_a
14,20,925,2325,120,5,15,0,63,192.168.0.133,LOAD,d_profile_02,1,0.05,zone_a
15,22,975,2625,120,5,15,0,64,192.168.0.134,LOAD,d_profile_03,1,0.035,zone_a
16,24,950,2875,120,5,15,0,65,192.168.0.135,LOAD,d_profile_03,1,0.04,zone_a
17,28,1500,3350,120,5,15,0,66,192.168.0.136,LOAD,d_profile_03,1,0.03,zone_a
18,29,1500,3650,120,5,15,0,67,192.168.0.137,LOAD,d_profile_03,1,0.04,zone_a
19,30,1850,3650,120,5,15,0,68,192.168.0.138,LOAD,d_profile_03,1,0.05,zone_a
20,31,1150,3375,60,5,15,0,69,192.168.0.139,LOAD,d_profile_03,1,0.035,zone_a
21,32,1150,3675,60,5,15,0,70,192.168.0.140,LOAD,d_profile_03,1,0.04,zone_a
22,33,875,3650,120,5,15,0,71,192.168.0.141,LOAD,d_profile_03,1,0.03,zone_a
23,34,1500,1125,120,5,15,0,72,192.168.0.142,LOAD,d_profile_03,1,0.04,zone_a
24,35,1975,2325,120,5,15,0,73,192.168.0.143,LOAD,d_profile_03,1,0.05,zone_a
