element_id,bus_id,geo_x,geo_y,max_p_kw,alpha,beta,gamma,agent_id,ip,type,scale_cost,zone
1,1,700,1500,200,0.062,4.2,0.1,1,192.168.0.71,DG,0.01,zone_a
2,13,1500,1500,200,0.08,2.25,0.1,2,192.168.0.72,DG,0.01,zone_a
3,26,1150,3150,200,0.075,3.25,0.1,3,192.168.0.73,DG,0.01,zone_a
4,29,1500,3650,200,0.07,4.05,0.1,4,192.168.0.74,DG,0.01,zone_a
5,36,1975,2100,200,0.07,4.05,0.1,5,192.168.0.75,DG,0.01,zone_a
6,45,2175,3025,200,0.062,4.2,0.1,6,192.168.0.76,DG,0.01,zone_a
7,54,2325,1500,200,0.08,2.25,0.1,7,192.168.0.77,DG,0.01,zone_b
8,88,3255,1125,200,0.075,3.25,0.1,8,192.168.0.78,DG,0.01,zone_c
9,93,2325,850,200,0.07,4.05,0.1,9,192.168.0.79,DG,0.01,zone_c
10,98,3800,2325,200,0.07,4.05,0.1,10,192.168.0.80,DG,0.01,zone_c
11,105,3525,3000,200,0.08,2.25,0.1,11,192.168.0.81,DG,0.01,zone_c
