line_id,from_bus,to_bus,r,x,capacity
1,1,2,0.011593,0.023751,10000
2,1,3,0.014492,0.029689,10000
3,1,7,0.01739,0.035627,10000
4,3,4,0.011593,0.023751,10000
5,3,5,0.018839,0.038596,10000
6,5,6,0.011593,0.023751,10000
7,7,8,0.011593,0.023751,10000
8,8,12,0.013043,0.02672,10000
9,8,9,0.013043,0.02672,10000
10,8,13,0.01739,0.035627,10000
11,9,14,0.015941,0.032658,10000
12,13,34,0.021738,0.044534,10000
13,13,18,0.047823,0.097974,10000
14,14,11,0.014492,0.029689,10000
15,14,10,0.011593,0.023751,10000
16,15,16,0.021738,0.044534,10000
17,15,17,0.020289,0.041565,10000
18,18,19,0.014492,0.029689,10000
19,18,21,0.01739,0.035627,10000
20,19,20,0.018839,0.038596,10000
21,21,22,0.030433,0.062347,10000
22,21,23,0.014492,0.029689,10000
23,23,24,0.031882,0.065316,10000
24,23,25,0.015941,0.032658,10000
25,25,26,0.020289,0.041565,10000
26,25,28,0.011593,0.023751,10000
27,26,27,0.015941,0.032658,10000
28,26,31,0.013043,0.02672,10000
29,27,33,0.028984,0.059378,10000
30,28,29,0.01739,0.035627,10000
31,29,30,0.020289,0.041565,10000
32,30,121,0.020289,0.041565,10000
33,31,32,0.01739,0.035627,10000
34,34,15,0.014492,0.029689,10000
35,35,36,0.013043,0.02672,10000
36,35,40,0.014492,0.029689,10000
37,36,37,0.011593,0.023751,10000
38,36,38,0.020289,0.041565,10000
39,38,39,0.018839,0.038596,10000
40,40,41,0.018839,0.038596,10000
41,40,42,0.014492,0.029689,10000
42,42,43,0.028984,0.059378,10000
43,42,44,0.011593,0.023751,10000
44,44,45,0.011593,0.023751,10000
45,44,47,0.014492,0.029689,10000
46,45,46,0.01739,0.035627,10000
47,47,48,0.008695,0.017813,10000
48,47,49,0.014492,0.029689,10000
49,49,50,0.014492,0.029689,10000
50,50,51,0.014492,0.029689,10000
51,51,117,0.011593,0.023751,10000
52,52,53,0.011593,0.023751,10000
53,53,54,0.007246,0.014845,10000
54,54,55,0.015941,0.032658,10000
55,54,57,0.020289,0.041565,10000
56,55,56,0.015941,0.032658,10000
57,57,58,0.014492,0.029689,10000
58,57,60,0.043475,0.089067,10000
59,58,59,0.014492,0.029689,10000
60,60,61,0.020289,0.041565,10000
61,60,62,0.014492,0.029689,10000
62,62,63,0.010144,0.020782,10000
63,63,64,0.01739,0.035627,10000
64,64,65,0.014492,0.029689,10000
65,65,66,0.024636,0.050471,10000
66,67,68,0.011593,0.023751,10000
67,67,72,0.020289,0.041565,10000
68,67,97,0.027534,0.056409,10000
69,68,69,0.011593,0.023751,10000
70,69,70,0.011593,0.023751,10000
71,70,71,0.011593,0.023751,10000
72,72,73,0.011593,0.023751,10000
73,72,76,0.021738,0.044534,10000
74,73,74,0.014492,0.029689,10000
75,74,75,0.011593,0.023751,10000
76,76,77,0.011593,0.023751,10000
77,76,86,0.015941,0.032658,10000
78,77,78,0.011593,0.023751,10000
79,78,79,0.011593,0.023751,10000
80,78,80,0.023187,0.047503,10000
81,80,81,0.023187,0.047503,10000
82,81,82,0.011593,0.023751,10000
83,81,84,0.013043,0.02672,10000
84,82,83,0.023187,0.047503,10000
85,84,85,0.011593,0.023751,10000
86,86,87,0.015651,0.032064,10000
87,87,88,0.015941,0.032658,10000
88,87,89,0.027824,0.057003,10000
89,89,90,0.015941,0.032658,10000
90,89,91,0.013043,0.02672,10000
91,91,92,0.015941,0.032658,10000
92,91,93,0.013043,0.02672,10000
93,93,94,0.015941,0.032658,10000
94,93,95,0.01739,0.035627,10000
95,95,96,0.015941,0.032658,10000
96,97,98,0.015941,0.032658,10000
97,98,99,0.011593,0.023751,10000
98,99,100,0.01739,0.035627,10000
99,100,123,0.011593,0.023751,10000
100,101,102,0.011593,0.023751,10000
101,101,105,0.014492,0.029689,10000
102,102,103,0.011593,0.023751,10000
103,103,104,0.011593,0.023751,10000
104,105,106,0.015941,0.032658,10000
105,105,108,0.014492,0.029689,10000
106,106,107,0.011593,0.023751,10000
107,108,109,0.014492,0.029689,10000
108,108,122,0.027534,0.056409,10000
109,109,110,0.026085,0.05344,10000
110,110,111,0.028984,0.059378,10000
111,110,112,0.01739,0.035627,10000
112,112,113,0.018839,0.038596,10000
113,113,114,0.01739,0.035627,10000
114,115,35,0.015941,0.032658,10000
115,116,1,0.014492,0.029689,10000
116,118,52,0.014492,0.029689,10000
117,119,67,0.015651,0.032064,10000
118,120,101,0.014492,0.029689,10000
119,119,60,0.010434,0.021376,10000
120,118,13,0.014492,0.029689,10000
121,115,18,0.011593,0.023751,10000
122,120,97,0.010144,0.020782,10000
