element_id,bus_id,geo_x,geo_y,max_p_kw,alpha,beta,agent_id,ip,type,profile,zone
1,29,1500,3650,1000,5,15,31,192.168.0.101,RES,r_profile_01,zone_a
2,33,875,3650,750,5,15,32,192.168.0.102,RES,r_profile_02,zone_a
3,31,1150,3375,500,5,15,33,192.168.0.103,RES,r_profile_03,zone_a
4,22,975,2625,1000,5,15,34,192.168.0.104,RES,r_profile_04,zone_a
5,19,1250,2325,750,5,15,35,192.168.0.105,RES,r_profile_05,zone_a
6,2,700,1700,750,5,15,36,192.168.0.106,RES,r_profile_06,zone_a
7,3,700,1250,500,5,15,37,192.168.0.107,RES,r_profile_07,zone_a
8,6,1025,1050,500,5,15,38,192.168.0.108,RES,r_profile_01,zone_a
9,49,2225,3275,750,5,15,39,192.168.0.109,RES,r_profile_02,zone_a
10,42,1975,2825,1000,5,15,40,192.168.0.110,RES,r_profile_03,zone_a
11,37,1775,2100,500,5,15,41,192.168.0.111,RES,r_profile_04,zone_a
12,64,3075,2575,1000,5,15,42,192.168.0.112,RES,r_profile_05,zone_b
13,91,2550,850,750,5,15,43,192.168.0.113,RES,r_profile_06,zone_c
14,77,3725,1125,500,5,15,44,192.168.0.114,RES,r_profile_07,zone_c
15,82,4525,725,750,5,15,45,192.168.0.115,RES,r_profile_01,zone_c
16,104,4125,2750,750,5,15,46,192.168.0.116,RES,r_profile_02,zone_c
17,112,4275,3500,1000,5,15,47,192.168.0.117,RES,r_profile_03,zone_c
18,109,3525,3500,500,5,15,48,192.168.0.118,RES,r_profile_04,zone_c
19,99,4000,2325,1000,5,15,49,192.168.0.119,RES,r_profile_05,zone_c
