d_profile_01,d_profile_02,d_profile_03,d_profile_04,d_profile_05
0.71,0.71,0.43,0.68,0.81
0.69,0.69,0.39,0.68,0.81
0.68,0.68,0.38,0.68,0.8
0.69,0.69,0.38,0.71,0.76
0.71,0.71,0.39,0.73,0.77
0.78,0.78,0.46,0.82,0.8
0.87,0.87,0.56,0.92,0.85
0.92,0.92,0.6,0.95,0.92
0.9,0.9,0.56,0.98,0.98
0.87,0.87,0.53,0.99,1
0.86,0.86,0.53,1,1
0.83,0.83,0.52,0.99,1
0.82,0.82,0.51,0.99,1
0.81,0.81,0.51,1,1
0.81,0.81,0.54,0.99,0.99
0.81,0.81,0.6,0.99,0.96
0.84,0.84,0.74,0.99,0.93
0.94,0.94,0.88,0.89,0.9
1,1,0.95,0.84,0.89
0.97,0.97,1,0.78,0.88
0.95,0.95,0.99,0.74,0.87
0.9,0.9,0.86,0.71,0.87
0.82,0.82,0.69,0.69,0.86
0.75,0.75,0.53,0.69,0.84
