r_profile_01,r_profile_02,r_profile_03,r_profile_04,r_profile_05,r_profile_06,r_profile_07
0.00,0.74,0.00,0.74,0.00,0.74,0.00
0.00,0.74,0.00,0.74,0.00,0.74,0.00
0.00,0.60,0.00,0.60,0.00,0.60,0.00
0.00,0.36,0.00,0.36,0.00,0.36,0.00
0.00,0.17,0.00,0.17,0.00,0.17,0.00
0.00,0.12,0.00,0.12,0.00,0.12,0.00
0.00,0.17,0.00,0.17,0.00,0.17,0.00
0.28,0.16,0.28,0.16,0.28,0.16,0.28
0.49,0.40,0.49,0.40,0.49,0.40,0.49
0.72,0.53,0.72,0.53,0.72,0.53,0.72
0.87,0.46,0.87,0.46,0.87,0.46,0.87
0.96,0.46,0.96,0.46,0.96,0.46,0.96
1.00,0.55,1.00,0.55,1.00,0.55,1.00
0.96,0.64,0.96,0.64,0.96,0.64,0.96
0.92,0.81,0.92,0.81,0.92,0.81,0.92
0.80,0.82,0.80,0.82,0.80,0.82,0.80
0.58,0.81,0.58,0.81,0.58,0.81,0.58
0.32,0.86,0.32,0.86,0.32,0.86,0.32
0.03,0.84,0.03,0.84,0.03,0.84,0.03
0.00,0.89,0.00,0.89,0.00,0.89,0.00
0.00,0.92,0.00,0.92,0.00,0.92,0.00
0.00,0.84,0.00,0.84,0.00,0.84,0.00
0.00,0.97,0.00,0.97,0.00,0.97,0.00
0.00,0.97,0.00,0.97,0.00,0.97,0.00
