d_profile_01,d_profile_02,d_profile_03,d_profile_04,d_profile_05
0.68,0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68,0.68
0.71,0.71,0.71,0.71,0.71
0.73,0.73,0.73,0.73,0.73
0.82,0.82,0.82,0.82,0.82
0.92,0.92,0.92,0.92,0.92
0.95,0.95,0.95,0.95,0.95
0.98,0.98,0.98,0.98,0.98
0.99,0.99,0.99,0.99,0.99
1,1,1,1,1
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
1,1,1,1,1
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.89,0.89,0.89,0.89,0.89
0.84,0.84,0.84,0.84,0.84
0.78,0.78,0.78,0.78,0.78
0.74,0.74,0.74,0.74,0.74
0.71,0.71,0.71,0.71,0.71
0.69,0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69,0.69
